bm25_k,vector_k,reranker_model,reranker_top_n,chunk_params,embedding_model,ensemble_weights,avg_bleu,reference_accuracy,avg_rouge1_recall,avg_rouge2_recall
5,5,bge-reranker-base,3,"(500, 150)",m3e-base,"[0.7, 0.3]",0.4671,0.7531,0.837,0.6945
5,3,bge-reranker-large,3,"(500, 150)",m3e-base,"[0.5, 0.5]",0.4667,0.7407,0.8494,0.7115
3,3,bge-reranker-v2-m3,3,"(300, 100)",m3e-base,"[0.5, 0.5]",0.46625,0.7499750000000001,0.848025,0.717075
5,5,bge-reranker-base,3,"(500, 150)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4653,0.7531,0.8455,0.6978
5,5,bge-reranker-base,3,"(500, 150)",m3e-base,"[0.5, 0.5]",0.4652,0.7531,0.8392,0.6947
3,3,bge-reranker-base,3,"(500, 150)",m3e-base,"[0.7, 0.3]",0.465,0.7654,0.8307,0.6876
3,3,bge-reranker-base,3,"(300, 100)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4646,0.740725,0.826175,0.6896
3,3,bge-reranker-large,3,"(500, 150)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4642,0.7407,0.8479,0.7087
3,5,bge-reranker-v2-m3,3,"(500, 150)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4639,0.7654,0.8465,0.7079
3,5,bge-reranker-base,3,"(300, 100)",xiaobu-embedding-v2,"[0.5, 0.5]",0.463625,0.753075,0.83005,0.695425
5,5,bge-reranker-base,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.462875,0.7438250000000001,0.823875,0.686125
5,5,bge-reranker-large,3,"(500, 150)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4624,0.7407,0.8452,0.7061
5,5,bge-reranker-large,3,"(500, 150)",m3e-base,"[0.5, 0.5]",0.4614,0.7407,0.8471,0.7135
3,3,bge-reranker-large,3,"(500, 150)",m3e-base,"[0.7, 0.3]",0.461,0.7037,0.8467,0.7048
5,3,bge-reranker-v2-m3,3,"(500, 150)",m3e-base,"[0.5, 0.5]",0.4609,0.7531,0.842,0.699
5,3,bge-reranker-base,3,"(300, 100)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4607,0.756175,0.8250500000000001,0.688925
5,3,bge-reranker-v2-m3,3,"(500, 150)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4604,0.7654,0.8488,0.717
5,5,bge-reranker-base,3,"(300, 100)",m3e-base,"[0.7, 0.3]",0.460175,0.756175,0.823375,0.68405
3,3,bge-reranker-base,3,"(500, 150)",m3e-base,"[0.5, 0.5]",0.46,0.7654,0.8233,0.6815
3,5,bge-reranker-base,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.457925,0.7253000000000001,0.806475,0.6724
5,5,bge-reranker-v2-m3,3,"(500, 150)",m3e-base,"[0.5, 0.5]",0.4576,0.7531,0.8368,0.7065
3,3,bge-reranker-base,3,"(500, 150)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4573,0.7654,0.8425,0.7043
5,5,bge-reranker-base,3,"(300, 100)",m3e-base,"[0.5, 0.5]",0.4568,0.756175,0.820825,0.6782250000000001
5,5,bge-reranker-base,3,"(300, 100)",xiaobu-embedding-v2,"[0.7, 0.3]",0.456525,0.7623500000000001,0.825175,0.689325
5,3,bge-reranker-base,3,"(500, 150)",m3e-base,"[0.5, 0.5]",0.4563,0.7531,0.8371,0.7003
3,5,bge-reranker-base,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.456275,0.7253000000000001,0.805425,0.673375
3,3,bge-reranker-v2-m3,3,"(500, 150)",m3e-base,"[0.5, 0.5]",0.4559,0.7407,0.8367,0.696
5,3,bge-reranker-v2-m3,3,"(500, 150)",m3e-base,"[0.7, 0.3]",0.4557,0.7531,0.8375,0.698
3,5,bge-reranker-base,3,"(300, 100)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4552,0.753075,0.8308,0.69495
3,3,bge-reranker-base,3,"(300, 100)",m3e-base,"[0.5, 0.5]",0.454975,0.7716000000000001,0.8232,0.689425
3,5,bge-reranker-base,3,"(500, 150)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4543,0.7531,0.8296,0.6798
5,5,bge-reranker-base,3,"(300, 100)",xiaobu-embedding-v2,"[0.5, 0.5]",0.453725,0.7623500000000001,0.8266,0.69275
3,5,bge-reranker-base,3,"(300, 100)",m3e-base,"[0.7, 0.3]",0.4536,0.7469250000000001,0.8257749999999999,0.6858500000000001
3,3,bge-reranker-base,3,"(300, 100)",xiaobu-embedding-v2,"[0.7, 0.3]",0.452825,0.740725,0.831025,0.6976
5,3,bge-reranker-base,3,"(300, 100)",m3e-base,"[0.5, 0.5]",0.45215,0.765425,0.8239,0.683325
3,5,bge-reranker-v2-m3,3,"(500, 150)",m3e-base,"[0.7, 0.3]",0.4511,0.7407,0.8369,0.6941
3,5,bge-reranker-base,3,"(500, 150)",xiaobu-embedding-v2,"[0.5, 0.5]",0.451,0.7531,0.8414,0.693
3,5,bge-reranker-base,3,"(500, 150)",m3e-base,"[0.7, 0.3]",0.4508,0.7531,0.8283,0.6887
3,5,bge-reranker-base,3,"(300, 100)",m3e-base,"[0.5, 0.5]",0.4507,0.7469250000000001,0.82425,0.6871
5,3,bge-reranker-base,3,"(500, 150)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4504,0.7531,0.8337,0.6822
5,5,bge-reranker-base,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.4504,0.7407,0.8327,0.6914
5,5,bge-reranker-v2-m3,3,"(500, 150)",m3e-base,"[0.7, 0.3]",0.4489,0.7531,0.852,0.7145
5,3,bge-reranker-base,3,"(300, 100)",m3e-base,"[0.7, 0.3]",0.4477,0.762325,0.826675,0.684725
3,3,bge-reranker-v2-m3,3,"(500, 150)",m3e-base,"[0.7, 0.3]",0.4469,0.7407,0.8397,0.7005
5,3,bge-reranker-base,3,"(300, 100)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4466,0.756175,0.822125,0.67875
3,5,bge-reranker-v2-m3,3,"(500, 150)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4452,0.7654,0.8392,0.7045
5,5,bge-reranker-base,3,"(500, 150)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4445,0.7531,0.8281,0.6799
3,3,bge-reranker-base,3,"(300, 100)",m3e-base,"[0.7, 0.3]",0.442975,0.7746999999999999,0.821275,0.6809
5,5,bge-reranker-v2-m3,3,"(500, 150)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4419,0.7654,0.8449,0.7101
5,5,bge-reranker-v2-m3,3,"(500, 150)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4373,0.7654,0.8442,0.7001
